time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-11-11T21:44:20.616Z,39.3286,-119.9406,0,0.3,ml,3,233.21,0.083,0.0188,nn,nn00518620,2015-11-11T22:19:28.783Z,"9km NNE of Incline Village, Nevada",earthquake
2015-11-11T21:42:08.324Z,36.741,-116.2134,3.8,-0.2,ml,8,172.28,0.013,0.0934,nn,nn00518619,2015-11-11T22:16:18.429Z,"52km ESE of Beatty, Nevada",earthquake
2015-11-11T21:40:23.900Z,19.2339,-64.7857,48,2.7,Md,3,338.4,1.03306258,0.05,pr,pr15315003,2015-11-11T23:30:42.395Z,"92km N of Road Town, British Virgin Islands",earthquake
2015-11-11T21:33:01.100Z,48.0803333,-121.9325,0.018,1.09,md,5,245,0.1151,0.3,uw,uw61104051,2015-11-11T23:31:54.410Z,"2km E of Granite Falls, Washington",explosion
2015-11-11T21:30:23.200Z,19.3786659,-155.2393341,2.75,1.82,ml,21,88,0.005212,0.11,hv,hv61099496,2015-11-11T21:36:11.620Z,"5km S of Volcano, Hawaii",earthquake
2015-11-11T21:21:47.236Z,38.6785,-119.4174,11.4,2.1,ml,25,46.95,0.262,0.1816,nn,nn00518606,2015-11-11T21:36:19.186Z,"13km SSW of Smith Valley, Nevada",earthquake
2015-11-11T21:15:27.890Z,38.8428345,-122.8416672,1.63,0.58,md,13,78,0.006424,0.03,nc,nc72554376,2015-11-11T21:17:02.200Z,"10km WNW of Cobb, California",earthquake
2015-11-11T21:12:45.187Z,36.7414,-116.2127,4,-0.3,ml,7,169.85,0.014,0.0535,nn,nn00518617,2015-11-11T22:10:04.390Z,"52km ESE of Beatty, Nevada",earthquake
2015-11-11T21:01:56.000Z,62.6832,-137.1159,4.3,1.6,ml,,,,0.57,ak,ak11854777,2015-11-12T00:05:03.093Z,"118km SSW of Mayo, Canada",earthquake
2015-11-11T20:56:10.670Z,38.8308334,-122.8059998,0.44,1.97,md,32,34,0.008081,0.04,nc,nc72554366,2015-11-11T20:57:46.090Z,"7km W of Cobb, California",earthquake
2015-11-11T20:53:08.010Z,-9.0732,157.9332,31.51,4.9,mb,,62,2.021,1.18,us,us10003xm9,2015-11-11T21:16:25.662Z,"161km SE of Gizo, Solomon Islands",earthquake
2015-11-11T20:43:02.100Z,18.2576,-67.2145,15,2.5,Md,6,136.8,0.14642539,0.07,pr,pr15315002,2015-11-11T23:05:55.822Z,"4km SW of La Playa, Puerto Rico",earthquake
2015-11-11T20:39:55.198Z,36.7464,-116.2022,2.5,0.2,ml,12,107.02,0.021,0.1488,nn,nn00518593,2015-11-11T21:26:42.995Z,"52km ESE of Beatty, Nevada",earthquake
2015-11-11T20:36:33.419Z,36.7447,-116.2082,3,0,ml,11,155.76,0.017,0.1468,nn,nn00518592,2015-11-11T21:23:26.542Z,"52km ESE of Beatty, Nevada",earthquake
2015-11-11T20:29:09.688Z,36.7421,-116.2112,3.6,0,ml,9,164.41,0.015,0.0703,nn,nn00518590,2015-11-11T21:17:15.049Z,"52km ESE of Beatty, Nevada",earthquake
2015-11-11T20:21:45.730Z,34.8475,-118.7883333,-0.94,1.1,ml,8,114,0.07146,0.19,ci,ci37271495,2015-11-11T21:17:22.352Z,"7km E of Lebec, California",quarry blast
2015-11-11T20:19:53.080Z,38.8431664,-122.8239975,1.42,0.43,md,6,97,0.01007,0.03,nc,nc72554341,2015-11-11T20:21:26.760Z,"9km WNW of Cobb, California",earthquake
2015-11-11T20:11:11.930Z,48.0883333,-121.9516667,0.043,1.7,ml,12,139,0.1083,0.26,uw,uw61104036,2015-11-11T23:01:06.380Z,"1km ENE of Granite Falls, Washington",earthquake
2015-11-11T19:56:35.620Z,38.840168,-122.8249969,1.74,1.31,md,23,47,0.008343,0.02,nc,nc72554326,2015-11-11T19:58:11.620Z,"9km WNW of Cobb, California",earthquake
2015-11-11T19:53:51.050Z,38.8398323,-122.8258362,1.64,1.14,md,21,48,0.007638,0.02,nc,nc72554321,2015-11-11T19:55:26.590Z,"9km WNW of Cobb, California",earthquake
2015-11-11T19:53:24.790Z,36.0561676,-120.6330032,2.67,2.06,md,30,50,0.07839,0.06,nc,nc72554316,2015-11-11T19:56:24.246Z,"26km WSW of Coalinga, California",earthquake
2015-11-11T19:34:37.750Z,35.0493333,-118.3228333,-0.84,0.93,ml,25,43,0.06058,0.15,ci,ci37271487,2015-11-11T21:09:59.589Z,"14km W of Mojave, California",quarry blast
2015-11-11T19:29:56.070Z,38.8411674,-122.8259964,1.23,1.02,md,20,59,0.007846,0.03,nc,nc72554301,2015-11-11T19:31:31.450Z,"9km WNW of Cobb, California",earthquake
2015-11-11T19:29:37.700Z,38.8413315,-122.8259964,1.49,0.83,md,16,50,0.007901,0.02,nc,nc72554296,2015-11-11T19:31:11.410Z,"9km WNW of Cobb, California",earthquake
2015-11-11T19:29:05.040Z,38.8438339,-122.8264999,1.67,1.02,md,21,56,0.008757,0.02,nc,nc72554291,2015-11-11T19:30:41.440Z,"9km WNW of Cobb, California",earthquake
2015-11-11T19:26:57.490Z,38.840332,-122.8253326,1.42,1.02,md,23,48,0.008119,0.03,nc,nc72554286,2015-11-11T19:28:31.420Z,"9km WNW of Cobb, California",earthquake
2015-11-11T19:06:59.810Z,33.0523333,-114.9811667,-0.13,1.67,ml,11,147,0.07994,0.26,ci,ci37271471,2015-11-11T21:15:02.319Z,"46km NNW of Los Algodones, B.C., MX",quarry blast
2015-11-11T18:57:22.000Z,61.0907,-147.4272,9.4,1.7,ml,5,244.799980416002,0.5910915,0.6,ak,ak11852622,2015-11-11T23:36:36.808Z,"58km W of Valdez, Alaska",earthquake
2015-11-11T18:54:00.940Z,33.6971667,-116.8096667,17.01,0.65,ml,15,164,0.07416,0.11,ci,ci37271463,2015-11-11T21:06:09.889Z,"10km SE of Valle Vista, California",earthquake
2015-11-11T18:46:34.997Z,38.3406,-118.527,8.7,0.6,ml,5,191.7,0.091,0.1096,nn,nn00518574,2015-11-11T19:01:16.902Z,"22km SSE of Hawthorne, Nevada",earthquake
2015-11-11T18:39:30.721Z,36.7536,-116.2046,3.6,0.5,ml,5,284.37,0.027,0.0865,nn,nn00518581,2015-11-11T21:14:01.541Z,"52km ESE of Beatty, Nevada",earthquake
2015-11-11T18:34:26.112Z,38.7388,-118.5694,9.4,0.5,ml,6,235.44,0.117,0.08,nn,nn00518573,2015-11-11T19:04:25.563Z,"24km NNE of Hawthorne, Nevada",earthquake
2015-11-11T18:33:42.050Z,-29.8835,-72.0491,12.19,4.8,mb,,150,0.704,0.95,us,us10003xfv,2015-11-11T23:33:30.040Z,"68km W of Coquimbo, Chile",earthquake
2015-11-11T18:33:32.320Z,38.831665,-122.8016663,0.88,0.69,md,7,107,0.01055,0.03,nc,nc72554266,2015-11-11T18:35:07.070Z,"6km W of Cobb, California",earthquake
2015-11-11T18:27:07.390Z,38.8411674,-122.8239975,1.58,0.68,md,7,85,0.009335,0.01,nc,nc72554256,2015-11-11T18:28:42.030Z,"9km WNW of Cobb, California",earthquake
2015-11-11T18:18:54.760Z,48.431,149.0436,389.94,5,mb,,31,4.491,0.73,us,us10003xfs,2015-11-11T19:32:49.181Z,"55km S of Vostok, Russia",earthquake
2015-11-11T18:03:25.920Z,38.8634987,-122.7871704,1.3,0.58,md,7,208,0.01162,0.04,nc,nc72554251,2015-11-11T18:05:00.920Z,"7km NW of Cobb, California",earthquake
2015-11-11T17:47:30.900Z,-18.3063,-176.5269,10,4.8,mb,,134,5.187,0.95,us,us10003xfn,2015-11-11T20:02:06.921Z,"271km W of Neiafu, Tonga",earthquake
2015-11-11T17:33:16.080Z,-20.0404,-177.3613,342.89,4.6,mb,,123,4.905,0.73,us,us10003xfh,2015-11-11T20:16:42.495Z,"155km ENE of Ndoi Island, Fiji",earthquake
2015-11-11T17:00:37.920Z,34.2336667,-117.5195,11.58,1.67,ml,58,32,0.03067,0.18,ci,ci37271439,2015-11-11T17:25:51.920Z,"3km SSW of Lytle Creek, California",earthquake
2015-11-11T16:24:42.400Z,39.4964981,-122.007164,4.83,1.64,md,5,132,0.2554,0.03,nc,nc72554226,2015-11-11T16:26:16.200Z,"16km E of Willows, California",earthquake
2015-11-11T16:20:44.180Z,36.0563316,-120.632164,2.83,2.52,md,41,42,0.07837,0.08,nc,nc72554221,2015-11-11T19:08:48.613Z,"26km WSW of Coalinga, California",earthquake
2015-11-11T16:11:48.710Z,22.0041,144.9225,74.35,5.2,mb,,41,5.648,0.56,us,us10003xf0,2015-11-12T00:14:30.515Z,"162km N of Farallon de Pajaros, Northern Mariana Islands",earthquake
2015-11-11T16:00:35.964Z,36.745,-116.1414,7,-0.1,ml,8,90.99,0.026,0.1239,nn,nn00518565,2015-11-11T17:28:23.118Z,"58km ESE of Beatty, Nevada",earthquake
2015-11-11T15:40:44.000Z,65.7287,-150.997,26.8,1.6,ml,,,,0.07,ak,ak11850426,2015-11-11T16:10:34.611Z,"79km NE of Tanana, Alaska",earthquake
2015-11-11T15:33:19.270Z,24.5654,122.7707,96.83,5,mb,,50,0.24,0.63,us,us10003xen,2015-11-12T00:04:38.137Z,"25km WNW of Yonakuni, Japan",earthquake
2015-11-11T14:54:55.760Z,35.707,-97.4214,5,3.2,mb_lg,,46,0.093,0.32,us,us10003xeh,2015-11-11T21:25:50.355Z,"7km NE of Edmond, Oklahoma",earthquake
2015-11-11T14:52:59.000Z,63.3006,-152.0068,17,1.4,ml,,,,0.5,ak,ak11849365,2015-11-11T15:23:07.947Z,"145km NW of Talkeetna, Alaska",earthquake
2015-11-11T14:48:30.700Z,36.119,-117.9055,4.09,0.24,ml,9,241,0.04104,0.11,ci,ci37271415,2015-11-11T16:39:30.895Z,"9km NNE of Coso Junction, California",earthquake
2015-11-11T14:41:50.000Z,62.6611,-149.4379,55.5,1.9,ml,,,,0.57,ak,ak11849362,2015-11-11T15:01:10.703Z,"51km NE of Talkeetna, Alaska",earthquake
2015-11-11T14:38:51.500Z,18.5258,-67.0593,23,1.6,Md,4,259.2,0.0763568,0.11,pr,pr15315001,2015-11-11T16:18:04.467Z,"4km NW of Isabela, Puerto Rico",earthquake
2015-11-11T14:23:49.045Z,37.5612,-118.836,6.8,0.3,ml,6,160.74,0.069,0.1001,nn,nn00518577,2015-11-11T19:13:44.223Z,"15km SE of Mammoth Lakes, California",earthquake
2015-11-11T14:20:03.840Z,36.7404,-116.2128,3.9,-0.2,ml,8,170.25,0.013,0.0809,nn,nn00518552,2015-11-11T18:55:05.157Z,"52km ESE of Beatty, Nevada",earthquake
2015-11-11T14:16:32.508Z,37.352,-114.6288,0,1.3,ml,4,146.37,0.34,0.2463,nn,nn00518600,2015-11-11T21:10:53.923Z,"30km SSW of Caliente, Nevada",earthquake
2015-11-11T14:13:25.000Z,63.5842,-150.9323,9.8,1.4,ml,,,,0.75,ak,ak11848331,2015-11-11T14:37:29.627Z,"101km WSW of Healy, Alaska",earthquake
2015-11-11T14:00:57.458Z,38.7654,-118.8324,7.8,0.8,ml,7,145.31,0.278,0.0796,nn,nn00518579,2015-11-11T19:29:45.198Z,"32km NW of Hawthorne, Nevada",earthquake
2015-11-11T13:56:54.838Z,37.5437,-118.8232,10,0.3,ml,6,168.18,0.087,0.0898,nn,nn00518542,2015-11-11T18:48:41.842Z,"17km SE of Mammoth Lakes, California",earthquake
2015-11-11T13:51:42.450Z,46.422,-119.2905,0.399,0.5,ml,6,154,0.007251,0.16,uw,uw61103931,2015-11-11T17:55:59.640Z,"14km NNE of West Richland, Washington",earthquake
2015-11-11T13:37:56.249Z,36.7421,-116.2088,3.9,-0.2,ml,7,156.06,0.015,0.0712,nn,nn00518556,2015-11-11T14:30:51.353Z,"52km ESE of Beatty, Nevada",earthquake
2015-11-11T13:32:56.662Z,39.3377,-119.9987,4.8,0.3,ml,7,114.25,0.054,0.1259,nn,nn00518550,2015-11-11T14:21:01.126Z,"9km NNW of Incline Village, Nevada",earthquake
2015-11-11T13:25:40.780Z,33.6411667,-116.7031667,13.27,0.58,ml,23,52,0.03695,0.09,ci,ci37271375,2015-11-11T16:32:54.931Z,"10km NNW of Anza, California",earthquake
2015-11-11T13:00:17.000Z,64.3126,-149.8562,22.7,1,ml,,,,0.3,ak,ak11847272,2015-11-11T13:25:33.568Z,"46km SW of North Nenana, Alaska",earthquake
2015-11-11T12:55:33.090Z,33.2723333,-116.783,10.09,1.63,ml,63,47,0.04156,0.19,ci,ci37271367,2015-11-11T16:27:52.110Z,"4km NNW of Lake Henshaw, California",earthquake
2015-11-11T12:51:12.310Z,38.8204994,-122.7634964,1.3,0.92,md,8,101,0.01115,0.02,nc,nc72554201,2015-11-11T12:52:46.700Z,"3km W of Cobb, California",earthquake
2015-11-11T12:25:32.702Z,39.438,-120.1507,8.5,-0.1,ml,6,75.18,0.11,0.056,nn,nn00518549,2015-11-11T14:14:44.981Z,"12km NNE of Truckee, California",earthquake
2015-11-11T12:20:17.300Z,17.8013,-65.1825,47,2.5,Md,3,316.8,0.45814079,0.07,pr,pr15315000,2015-11-11T20:22:50.131Z,"44km SE of Esperanza, Puerto Rico",earthquake
2015-11-11T12:16:52.000Z,59.3407,-151.4933,20.4,1.4,ml,,,,0.8,ak,ak11847249,2015-11-11T13:25:32.945Z,"33km S of Homer, Alaska",earthquake
2015-11-11T12:12:47.480Z,33.5185,-117.0833333,11.29,0.84,ml,33,64,0.0317,0.17,ci,ci37271351,2015-11-11T15:57:11.541Z,"7km ENE of Temecula, California",earthquake
2015-11-11T12:11:01.000Z,61.4641,-150.003,40.7,1.2,ml,,,,0.16,ak,ak11847246,2015-11-11T12:38:16.931Z,"6km SSW of Big Lake, Alaska",earthquake
2015-11-11T12:08:50.270Z,9.6915,-85.6992,25.88,5.1,mb,,138,0.435,0.98,us,us10003xdn,2015-11-11T22:50:41.044Z,"28km SW of Samara, Costa Rica",earthquake
2015-11-11T12:06:23.410Z,38.8106651,-122.8128357,0.5,0.8,md,10,95,0.01289,0.02,nc,nc72554196,2015-11-11T12:07:56.430Z,"6km NW of The Geysers, California",earthquake
2015-11-11T11:46:09.700Z,48.6986667,-121.5595,14.009,0.74,md,4,190,0.1728,0.02,uw,uw61103906,2015-11-11T17:49:45.190Z,"23km N of Rockport, Washington",earthquake
2015-11-11T11:45:23.510Z,-8.9074,110.2132,77.77,5.6,mwb,,35,1.035,1.45,us,us10003xd3,2015-11-11T21:12:09.724Z,"106km S of Bambanglipuro, Indonesia",earthquake
2015-11-11T11:39:45.320Z,33.2696667,-116.2786667,4.55,2.31,ml,87,32,0.07951,0.2,ci,ci37271343,2015-11-11T15:51:57.350Z,"9km E of Borrego Springs, California",earthquake
2015-11-11T11:36:30.050Z,37.148,-97.8743333,6.4,2.32,ml,21,44,0.03931,0.04,ismpkansas,ismpkansas70152973,2015-11-11T19:39:15.081Z,"13km E of Anthony, Kansas",earthquake
2015-11-11T11:26:06.763Z,35.9143,-114.5052,2.7,1.6,ml,6,215.77,0.338,0.0995,nn,nn00518536,2015-11-11T13:46:05.684Z,"30km ESE of Boulder City, Nevada",earthquake
2015-11-11T11:19:13.000Z,60.3017,-141.5335,48.4,1.3,ml,,,,0.98,ak,ak11846215,2015-11-11T11:49:10.277Z,"56km ENE of Cape Yakataga, Alaska",earthquake
2015-11-11T11:06:41.000Z,59.9628,-140.9598,0,2.3,ml,,,,0.73,ak,ak11846200,2015-11-11T11:26:26.693Z,"82km E of Cape Yakataga, Alaska",earthquake
2015-11-11T10:55:39.000Z,61.4749,-146.5804,21.5,2,ml,,,,0.78,ak,ak11846196,2015-11-11T11:26:27.951Z,"40km NNW of Valdez, Alaska",earthquake
2015-11-11T10:38:17.550Z,36.6861,-98.2424,5,3.1,mb_lg,,49,0.12,0.61,us,us10003xcp,2015-11-11T12:37:14.581Z,"12km SE of Cherokee, Oklahoma",earthquake
2015-11-11T10:35:43.000Z,59.3811,-153.2356,100,2.6,ml,,,,0.87,ak,ak11846186,2015-11-11T18:38:13.478Z,"90km WSW of Anchor Point, Alaska",earthquake
2015-11-11T10:28:33.710Z,38.0801667,-113.3205,1.17,1.36,md,10,126,0.256,0.15,uu,uu60129522,2015-11-11T19:55:39.170Z,"42km NW of Enoch, Utah",earthquake
2015-11-11T10:23:06.000Z,63.0437,-150.2145,0,2,ml,,,,0.88,ak,ak11845162,2015-11-11T11:01:46.966Z,"74km WSW of Cantwell, Alaska",earthquake
2015-11-11T10:20:32.134Z,40.1792,-121.0762,10.3,1.3,ml,8,120.85,0.343,0.1719,nn,nn00518533,2015-11-11T19:20:20.410Z,"11km WNW of Greenville, California",earthquake
2015-11-11T10:18:31.000Z,63.0765,-149.3362,84.4,1.5,ml,,,,0.46,ak,ak11845158,2015-11-11T10:36:19.009Z,"40km SSW of Cantwell, Alaska",earthquake
2015-11-11T10:17:05.780Z,33.5238333,-116.4431667,10.79,1.54,ml,76,30,0.0146,0.15,ci,ci37271335,2015-11-11T15:13:34.400Z,"20km SW of La Quinta, California",earthquake
2015-11-11T10:15:54.050Z,33.5296667,-116.4356667,11.24,0.86,ml,34,53,0.01041,0.13,ci,ci37271327,2015-11-11T14:43:48.623Z,"19km SW of La Quinta, California",earthquake
2015-11-11T10:15:08.050Z,38.8358345,-122.8081665,2.01,1.34,md,26,29,0.01251,0.03,nc,nc72554151,2015-11-11T10:16:41.740Z,"7km WNW of Cobb, California",earthquake
2015-11-11T10:10:40.000Z,61.3813,-152.2384,4.7,0.7,ml,,,,0.44,ak,ak11845157,2015-11-11T13:02:51.938Z,"92km NNW of Nikiski, Alaska",earthquake
2015-11-11T09:58:50.050Z,38.8606682,-122.8428345,0.93,1.24,md,22,91,0.01635,0.03,nc,nc72554141,2015-11-11T10:00:26.600Z,"11km WNW of Cobb, California",earthquake
2015-11-11T09:57:29.000Z,54.3831,-161.7058,26.5,4.1,ml,,,,0.94,ak,ak11845142,2015-11-11T18:00:04.511Z,"110km SE of Cold Bay, Alaska",earthquake
2015-11-11T09:53:52.136Z,39.3427,-119.9998,4.2,-0.1,ml,7,102.72,0.058,0.0757,nn,nn00518547,2015-11-11T14:11:31.307Z,"10km NNW of Incline Village, Nevada",earthquake
2015-11-11T09:29:09.010Z,19.3996658,-155.6268311,2.91,1.71,md,10,119,0.003147,0.34,hv,hv61098676,2015-11-11T09:32:18.430Z,"25km ESE of Honaunau-Napoopoo, Hawaii",earthquake
2015-11-11T09:20:57.634Z,36.6679,-116.159,0,-0.1,ml,4,279.33,0.021,0.0251,nn,nn00518582,2015-11-11T19:48:10.808Z,"53km NNW of Pahrump, Nevada",earthquake
2015-11-11T09:15:26.510Z,19.4261665,-155.6143341,1.71,2.27,md,18,66,0.02645,0.36,hv,hv61098656,2015-11-11T09:18:32.780Z,"26km E of Honaunau-Napoopoo, Hawaii",earthquake
2015-11-11T09:08:36.578Z,39.3453,-119.9994,4,0.3,ml,5,164.52,0.06,0.1131,nn,nn00518546,2015-11-11T14:08:09.317Z,"10km NNW of Incline Village, Nevada",earthquake
2015-11-11T09:07:45.390Z,-29.6464,-72.1096,15.68,5.1,mb,,140,0.804,1.08,us,us10003xc2,2015-11-11T23:44:30.040Z,"81km WNW of Coquimbo, Chile",earthquake
2015-11-11T09:00:34.850Z,38.8383331,-122.8411636,1.78,0.9,md,11,115,0.004441,0.01,nc,nc72554111,2015-11-11T09:02:11.130Z,"10km W of Cobb, California",earthquake
2015-11-11T08:50:27.971Z,36.5979,-116.1131,4.8,0.6,ml,10,160.93,0.095,0.1686,nn,nn00518532,2015-11-11T13:30:19.353Z,"44km NNW of Pahrump, Nevada",earthquake
2015-11-11T08:42:34.896Z,36.013,-116.07,2,1.4,ml,10,97.64,0.472,0.2232,nn,nn00518531,2015-11-11T13:26:52.859Z,"23km SSW of Pahrump, Nevada",earthquake
2015-11-11T08:33:33.290Z,38.8123322,-122.8153305,1.51,0.43,md,7,95,0.01136,0.02,nc,nc72554101,2015-11-11T08:35:10.880Z,"6km NW of The Geysers, California",earthquake
2015-11-11T08:00:13.202Z,37.5355,-118.8207,6.6,0,ml,6,173.36,0.092,0.1538,nn,nn00518568,2015-11-11T18:30:13.434Z,"18km SE of Mammoth Lakes, California",earthquake
2015-11-11T07:59:32.900Z,-31.758,-71.5902,41.64,4.8,mb,,158,1.081,0.68,us,us10003xbp,2015-11-11T23:48:15.040Z,"42km WSW of Illapel, Chile",earthquake
2015-11-11T07:32:25.960Z,44.634,-110.3436667,-0.56,0.89,md,7,137,0.08,0.19,uu,uu60129517,2015-11-11T19:44:50.480Z,"43km ENE of Old Faithful Geyser, Wyoming",earthquake
2015-11-11T07:23:30.000Z,60.5765,-152.2655,96.6,2.2,ml,,,,0.53,ak,ak11843093,2015-11-11T07:56:57.069Z,"28km ENE of Redoubt Volcano, Alaska",earthquake
2015-11-11T07:20:22.010Z,36.4979,-98.6761,6.5,2.8,mb_lg,,113,0.287,0.57,us,us10003xas,2015-11-11T15:22:53.737Z,"30km NW of Fairview, Oklahoma",earthquake
2015-11-11T07:18:24.000Z,61.871,-151.9511,100,2.9,ml,,,,0.61,ak,ak11843079,2015-11-11T15:20:52.046Z,"101km W of Willow, Alaska",earthquake
2015-11-11T07:17:37.763Z,39.3522,-120.0017,3.2,-0.2,ml,4,168.29,0.065,0.0516,nn,nn00518545,2015-11-11T14:08:04.375Z,"11km NNW of Incline Village, Nevada",earthquake
2015-11-11T07:10:14.860Z,38.8391685,-122.8293304,1.25,1.04,md,15,56,0.004843,0.02,nc,nc72554086,2015-11-11T07:11:50.230Z,"9km WNW of Cobb, California",earthquake
2015-11-11T07:08:55.540Z,-29.4844,-72.1351,10,4.8,mb,,98,0.892,0.7,us,us10003xak,2015-11-11T23:52:38.040Z,"92km NW of Coquimbo, Chile",earthquake
2015-11-11T07:08:42.600Z,37.7498322,-121.9378357,7.91,1.45,md,15,102,0.08523,0.06,nc,nc72554081,2015-11-11T07:10:20.230Z,"4km SE of San Ramon, California",earthquake
2015-11-11T06:52:48.791Z,37.5295,-118.8207,7.6,0.4,ml,6,178.02,0.089,0.1501,nn,nn00518567,2015-11-11T18:27:07.178Z,"18km SE of Mammoth Lakes, California",earthquake
2015-11-11T06:41:24.060Z,38.8271675,-122.8531647,1.97,1.05,md,18,60,0.002921,0.03,nc,nc72554076,2015-11-11T06:43:00.020Z,"10km WNW of The Geysers, California",earthquake
2015-11-11T06:39:19.860Z,38.8175011,-122.8215027,2.58,0.76,md,7,151,0.02257,0.02,nc,nc72554071,2015-11-11T06:40:54.990Z,"7km NW of The Geysers, California",earthquake
2015-11-11T06:29:55.450Z,36.159832,-120.1273346,9.65,1.89,md,10,185,0.09963,0.11,nc,nc72554066,2015-11-11T06:31:29.940Z,"5km SSW of Huron, California",earthquake
2015-11-11T06:26:34.030Z,-9.1746,-108.6479,10,5.2,mb,,147,17.869,0.62,us,us10003xaf,2015-11-11T17:11:40.040Z,"Central East Pacific Rise",earthquake
2015-11-11T06:22:22.000Z,61.3658,-146.7502,23.5,1.7,ml,,,,1,ak,ak11842061,2015-11-11T06:47:09.965Z,"33km NW of Valdez, Alaska",earthquake
2015-11-11T06:15:19.327Z,39.3488,-120.008,4.7,0.3,ml,12,69.04,0.06,0.1753,nn,nn00518544,2015-11-11T14:04:50.267Z,"11km NNW of Incline Village, Nevada",earthquake
2015-11-11T06:10:40.000Z,64.6328,-149.8698,18.7,1.5,ml,,,,0.62,ak,ak11842057,2015-11-11T06:47:09.299Z,"36km W of North Nenana, Alaska",earthquake
2015-11-11T05:51:10.053Z,39.3444,-120.0135,4.5,1.1,ml,6,114.07,0.055,0.1305,nn,nn00518540,2015-11-11T13:23:13.121Z,"10km NNW of Incline Village, Nevada",earthquake
2015-11-11T05:44:48.090Z,35.0943333,-117.4521667,4.76,1.41,ml,12,97,0.1504,0.13,ci,ci37271295,2015-11-11T14:24:18.035Z,"21km ENE of Boron, California",earthquake
2015-11-11T05:37:54.181Z,39.3438,-120.0019,5,0.4,ml,11,94.83,0.058,0.1464,nn,nn00518506,2015-11-11T05:50:40.009Z,"10km NNW of Incline Village, Nevada",earthquake
2015-11-11T05:22:59.310Z,38.9491653,-123.0533371,2.16,1.78,md,9,113,0.04667,0.02,nc,nc72554056,2015-11-11T05:24:34.410Z,"15km SW of Lakeport, California",earthquake
